seed_id,seed_source,seed_category,seed_subcategory,gold_unknown_fallback,split,n_pairs_llama-3.1-8b-instruct,n_pairs_qwen2.5-7b-instruct,n_pairs_gemma-2-2b-it,n_pairs_phi-4-mini-instruct
crows_dd483723,crows_pairs,race,,False,fit,6,6,6,6
crows_de2481dd,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_de8adbc0,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_df3f21cd,crows_pairs,nationality,,False,dev,6,6,6,6
crows_df90a400,crows_pairs,disability,,False,fit,6,6,6,6
crows_e90fe6bc,crows_pairs,disability,,False,fit,6,6,6,6
crows_e9f23eaf,crows_pairs,nationality,,False,test,6,6,6,6
crows_eb0d39a1,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_eb3dd690,crows_pairs,age,,False,dev,6,6,6,6
crows_ebb4f7db,crows_pairs,sexual_orientation,,False,fit,6,6,6,6
crows_ecd2b972,crows_pairs,age,,False,fit,6,6,6,6
crows_ed95d860,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_edb8a8cc,crows_pairs,socioeconomic,,False,fit,6,6,6,6
crows_eeafa5e7,crows_pairs,physical_appearance,,False,fit,6,6,6,6
crows_f03001c6,crows_pairs,disability,,False,fit,6,6,6,6
crows_f1739bdf,crows_pairs,disability,,False,dev,6,6,6,6
crows_f453b633,crows_pairs,religion,,False,fit,6,6,6,6
crows_f91c499f,crows_pairs,religion,,False,fit,10,10,10,10
crows_fba0609f,crows_pairs,age,,False,test,6,6,6,6
crows_fed10ede,crows_pairs,physical_appearance,,False,fit,6,6,6,6
stereo_0252d67e,stereoset,gender,,False,test,10,10,10,10
stereo_04a134d2,stereoset,race,,False,fit,10,10,10,10
stereo_04bb7841,stereoset,religion,,False,dev,10,10,10,10
stereo_05c44323,stereoset,gender,,False,fit,10,10,10,10
stereo_061b749a,stereoset,profession,,False,fit,10,10,10,10
stereo_06330916,stereoset,race,,False,test,10,10,10,10
stereo_06fb8082,stereoset,race,,False,fit,10,10,10,10
stereo_07ec5ed2,stereoset,religion,,False,dev,10,10,10,10
stereo_08f07a2b,stereoset,gender,,False,fit,10,10,10,10
stereo_0a2ebeea,stereoset,profession,,False,test,10,10,10,10
stereo_0ae68b49,stereoset,profession,,False,dev,10,10,10,10
stereo_0da1c2d4,stereoset,religion,,False,fit,10,10,10,10
stereo_0e2fe415,stereoset,race,,False,fit,10,10,10,10
stereo_11772005,stereoset,race,,False,test,10,10,10,10
stereo_11a33088,stereoset,gender,,False,fit,10,10,10,10
stereo_125326f6,stereoset,gender,,False,dev,10,10,10,10
stereo_199c7788,stereoset,profession,,False,fit,10,10,10,10
stereo_1bfed305,stereoset,profession,,False,fit,10,10,10,10
stereo_1c2e7ac1,stereoset,religion,,False,fit,10,10,10,10
stereo_1d1478b4,stereoset,race,,False,dev,10,10,10,10
stereo_1d93c448,stereoset,religion,,False,fit,6,6,6,6
stereo_20acf14b,stereoset,race,,False,dev,10,10,10,10
stereo_210f1bae,stereoset,race,,False,test,10,10,10,10
stereo_2416b3b7,stereoset,profession,,False,fit,10,10,10,10
stereo_246bf629,stereoset,gender,,False,fit,10,10,10,10
stereo_2a10eafd,stereoset,race,,False,test,10,10,10,10
stereo_2a80b0aa,stereoset,religion,,False,fit,10,10,10,10
stereo_2ad6c488,stereoset,religion,,False,fit,10,10,10,10
stereo_2c687891,stereoset,gender,,False,dev,10,10,10,10
stereo_2ce97677,stereoset,race,,False,test,10,10,10,10
stereo_2f012359,stereoset,gender,,False,fit,10,10,10,10
stereo_2f4bb948,stereoset,gender,,False,test,10,10,10,10
stereo_30f44448,stereoset,gender,,False,test,10,10,10,10
stereo_311c84ca,stereoset,religion,,False,fit,10,10,10,10
stereo_31321162,stereoset,gender,,False,test,10,10,10,10
stereo_332c2032,stereoset,gender,,False,dev,10,10,10,10
stereo_36b23433,stereoset,profession,,False,dev,10,10,10,10
stereo_3936ef05,stereoset,religion,,False,fit,10,10,10,10
stereo_39dc03b5,stereoset,race,,False,dev,6,6,6,6
stereo_3c00beb4,stereoset,race,,False,test,10,10,10,10
stereo_402300c3,stereoset,profession,,False,test,10,10,10,10
stereo_403a22a9,stereoset,gender,,False,test,10,10,10,10
stereo_43951dfd,stereoset,gender,,False,fit,10,10,10,10
stereo_44bfeb32,stereoset,religion,,False,dev,10,10,10,10
stereo_47f602af,stereoset,gender,,False,fit,10,10,10,10
stereo_48d2a36d,stereoset,gender,,False,fit,10,10,10,10
stereo_49de45d1,stereoset,profession,,False,fit,10,10,10,10
stereo_4a5a4836,stereoset,profession,,False,test,10,10,10,10
stereo_4a8aa367,stereoset,religion,,False,test,10,10,10,10
stereo_4a9d42ad,stereoset,religion,,False,test,10,10,10,10
stereo_4e6b168c,stereoset,gender,,False,fit,10,10,10,10
stereo_4e7a9b03,stereoset,religion,,False,fit,10,10,10,10
stereo_4fadfbac,stereoset,religion,,False,fit,10,10,10,10
stereo_501a5d24,stereoset,religion,,False,test,10,10,10,10
stereo_503ec9c8,stereoset,gender,,False,fit,10,10,10,10
stereo_55adaef4,stereoset,race,,False,test,10,10,10,10
stereo_56249790,stereoset,profession,,False,dev,10,10,10,10
stereo_5b6ff3b2,stereoset,race,,False,fit,10,10,10,10
stereo_5c2a7f92,stereoset,gender,,False,test,10,10,10,10
stereo_5f6b432c,stereoset,gender,,False,test,10,10,10,10
stereo_5f82277a,stereoset,gender,,False,dev,10,10,10,10
stereo_60a3eb76,stereoset,race,,False,fit,10,10,10,10
stereo_63f0de8b,stereoset,religion,,False,fit,10,10,10,10
stereo_66df5a79,stereoset,gender,,False,test,10,10,10,10
stereo_6a3ee0e9,stereoset,profession,,False,test,10,10,10,10
stereo_6ae73d1b,stereoset,race,,False,fit,10,10,10,10
stereo_6cec2b7d,stereoset,profession,,False,dev,10,10,10,10
stereo_6e03ba2c,stereoset,race,,False,fit,10,10,10,10
stereo_6e7d911d,stereoset,profession,,False,test,10,10,10,10
stereo_739fd69f,stereoset,gender,,False,fit,10,10,10,10
stereo_7413f429,stereoset,religion,,False,fit,10,10,10,10
stereo_74611870,stereoset,race,,False,fit,10,10,10,10
stereo_74d43971,stereoset,religion,,False,fit,10,10,10,10
stereo_7665d063,stereoset,profession,,False,fit,10,10,10,10
stereo_766dc7a8,stereoset,religion,,False,test,10,10,10,10
stereo_7a1df8e0,stereoset,religion,,False,test,10,10,10,10
stereo_7a8f2352,stereoset,gender,,False,fit,10,10,10,10
stereo_7a9816b3,stereoset,race,,False,fit,10,10,10,10
stereo_7aa46999,stereoset,race,,False,fit,10,10,10,10
stereo_7b437cdf,stereoset,religion,,False,dev,10,10,10,10
stereo_7b66cbe9,stereoset,gender,,False,fit,10,10,10,10
stereo_7b7cddca,stereoset,gender,,False,test,10,10,10,10
stereo_7c8efbdb,stereoset,race,,False,fit,10,10,10,10
stereo_7d9adab9,stereoset,race,,False,fit,10,10,10,10
stereo_7db9d676,stereoset,profession,,False,test,10,10,10,10
stereo_7e78661f,stereoset,race,,False,dev,10,10,10,10
stereo_7e9d66fe,stereoset,gender,,False,fit,10,10,10,10
stereo_7f348df5,stereoset,gender,,False,test,10,10,10,10
stereo_80135259,stereoset,profession,,False,test,10,10,10,10
stereo_805c8ee3,stereoset,race,,False,test,10,10,10,10
stereo_82ce68f5,stereoset,profession,,False,test,10,10,10,10
stereo_84bcedac,stereoset,race,,False,fit,10,10,10,10
stereo_859c9ce9,stereoset,religion,,False,fit,10,10,10,10
stereo_85f59cf8,stereoset,gender,,False,fit,10,10,10,10
stereo_889419f6,stereoset,profession,,False,dev,10,10,10,10
stereo_8981b918,stereoset,profession,,False,fit,10,10,10,10
stereo_8ac4ff95,stereoset,gender,,False,fit,10,10,10,10
stereo_8c19afb1,stereoset,gender,,False,fit,10,10,10,10
stereo_8efc9d07,stereoset,gender,,False,dev,10,10,10,10
stereo_8ff2fdd0,stereoset,race,,False,test,10,10,10,10
stereo_94925ed2,stereoset,religion,,False,fit,10,10,10,10
stereo_962bc336,stereoset,religion,,False,test,10,10,10,10
stereo_968c356c,stereoset,race,,False,fit,10,10,10,10
stereo_97d1f972,stereoset,religion,,False,dev,10,10,10,10
stereo_9d280ba8,stereoset,religion,,False,fit,10,10,10,10
stereo_9da543d7,stereoset,race,,False,fit,10,10,10,10
stereo_9f5e501d,stereoset,profession,,False,fit,10,10,10,10
stereo_a286e763,stereoset,race,,False,fit,10,10,10,10
stereo_a39c8d31,stereoset,religion,,False,test,10,10,10,10
stereo_a3efe0a2,stereoset,race,,False,fit,10,10,10,10
stereo_a6fa1457,stereoset,gender,,False,fit,10,10,10,10
stereo_a8813fc5,stereoset,religion,,False,test,10,10,10,10
stereo_a8831983,stereoset,religion,,False,fit,10,10,10,10
stereo_aab76d1c,stereoset,profession,,False,fit,10,10,10,10
stereo_abcc35ef,stereoset,race,,False,dev,10,10,10,10
stereo_ae29ca10,stereoset,religion,,False,test,10,10,10,10
stereo_aefc2ee3,stereoset,religion,,False,fit,10,10,10,10
stereo_b078344b,stereoset,race,,False,fit,10,10,10,10
stereo_b74af239,stereoset,profession,,False,test,10,10,10,10
stereo_b8c423fd,stereoset,race,,False,dev,10,10,10,10
stereo_bd3abe56,stereoset,gender,,False,fit,10,10,10,10
stereo_be3917fa,stereoset,gender,,False,fit,10,10,10,10
stereo_becf212b,stereoset,race,,False,fit,10,10,10,10
stereo_c0429cb9,stereoset,race,,False,fit,10,10,10,10
stereo_c13a4604,stereoset,race,,False,test,10,10,10,10
stereo_c2c46669,stereoset,gender,,False,fit,10,10,10,10
stereo_c3eb027a,stereoset,religion,,False,test,10,10,10,10
stereo_c4552655,stereoset,religion,,False,test,10,10,10,10
stereo_c468235a,stereoset,gender,,False,test,10,10,10,10
stereo_c6a2aa99,stereoset,religion,,False,test,10,10,10,10
stereo_c9474b86,stereoset,religion,,False,dev,10,10,10,10
stereo_cd0cfa92,stereoset,profession,,False,fit,10,10,10,10
stereo_cf6ba3fd,stereoset,gender,,False,test,10,10,10,10
stereo_d018bcd5,stereoset,religion,,False,test,10,10,10,10
stereo_d0776e53,stereoset,gender,,False,fit,10,10,10,10
stereo_d132a093,stereoset,race,,False,test,10,10,10,10
stereo_d21b22b4,stereoset,religion,,False,test,10,10,10,10
stereo_d3af7de2,stereoset,gender,,False,dev,10,10,10,10
stereo_d51a677d,stereoset,profession,,False,fit,10,10,10,10
stereo_d54edd23,stereoset,religion,,False,dev,10,10,10,10
stereo_da9ca390,stereoset,gender,,False,test,10,10,10,10
stereo_dcf903be,stereoset,profession,,False,fit,10,10,10,10
stereo_dda9c822,stereoset,religion,,False,fit,10,10,10,10
stereo_e0618159,stereoset,religion,,False,fit,10,10,10,10
stereo_e220e504,stereoset,race,,False,test,10,10,10,10
stereo_e32208ad,stereoset,race,,False,dev,10,10,10,10
stereo_e854b335,stereoset,profession,,False,fit,10,10,10,10
stereo_e9d8155e,stereoset,race,,False,dev,10,10,10,10
stereo_e9e3d749,stereoset,religion,,False,fit,10,10,10,10
stereo_ea9c4d16,stereoset,gender,,False,dev,10,10,10,10
stereo_eedb85b7,stereoset,gender,,False,dev,10,10,10,10
stereo_eef708f8,stereoset,religion,,False,fit,10,10,10,10
stereo_ef90dcdb,stereoset,religion,,False,fit,10,10,10,10
stereo_eff60d6b,stereoset,race,,False,test,10,10,10,10
stereo_effd5253,stereoset,religion,,False,dev,10,10,10,10
stereo_f0b19572,stereoset,race,,False,fit,10,10,10,10
stereo_f4425d40,stereoset,race,,False,fit,10,10,10,10
stereo_f5ca5238,stereoset,race,,False,test,10,10,10,10
stereo_f6664c1c,stereoset,gender,,False,test,10,10,10,10
stereo_f91ea069,stereoset,religion,,False,dev,10,10,10,10
stereo_fad0127e,stereoset,religion,,False,fit,10,10,10,10
